name,votep,social,nonProfit,sci
Akmen?s rajono savivaldyb?,0.500461851,10.72983727,6,3.272121
Taurag?s rajono savivaldyb?,0.476759592,6.584800124,7,-1.01956
Lazdij? rajono savivaldyb?,0.523117162,5.925783558,4,-1.5839
Mol?t? rajono savivaldyb?,0.5,7.452468839,5,0.073486
Alytaus miesto savivaldyb?,0.486245301,9.010520923,15,1.592938
Kalvarijos savivaldyb?,0.436482939,5.61069514,2,-1.93825
Šiauli? rajono savivaldyb?,0.484611881,5.240713689,7,-2.31103
Mažeiki? rajono savivaldyb?,0.459501282,5.952273582,11,-1.54088
Rokiškio rajono savivaldyb?,0.51284719,7.213886551,8,-0.18796
Šal?inink? rajono savivaldyb?,0.543758765,4.008901115,4,-3.62087
Skuodo rajono savivaldyb?,0.461722324,7.087853334,4,-0.40232
Visagino savivaldyb?,0.359274123,13.88271573,4,6.046788
Alytaus rajono savivaldyb?,0.502149122,4.587644485,1,-3.31449
Elektr?n? savivaldyb?,0.430691136,7.449097824,8,0.275724
Kupiškio rajono savivaldyb?,0.502167814,8.268789179,3,0.567222
Jonavos rajono savivaldyb?,0.458932349,6.938904709,8,-0.64305
Plung?s rajono savivaldyb?,0.475966035,7.550821645,4,-0.26391
Var?nos rajono savivaldyb?,0.527589545,8.783860356,3,0.964516
Kauno miesto savivaldyb?,0.535451779,11.46665102,134,4.450568
Šilal?s rajono savivaldyb?,0.514408308,5.897569927,8,-1.23606
Vilkaviškio rajono savivaldyb?,0.474100803,5.067781573,7,-2.44831
Kretingos rajono savivaldyb?,0.456912197,6.399830076,8,-1.10438
Šaki? rajono savivaldyb?,0.485062357,7.658791662,11,0.56854
Klaip?dos rajono savivaldyb?,0.490707427,5.804672755,7,-1.8728
Kazl? R?dos savivaldyb?,0.455844891,7.91491026,2,0.22669
Šven?ioni? rajono savivaldyb?,0.528185988,6.869111026,2,-1.01222
Kauno rajono savivaldyb?,0.542152704,5.580946341,21,-1.78249
Joniškio rajono savivaldyb?,0.464105549,8.260875644,10,1.310486
Ignalinos rajono savivaldyb?,0.47208695,7.999788427,4,0.533637
Druskinink? savivaldyb?,0.524625935,9.916806028,6,2.517775
Telši? rajono savivaldyb?,0.469811123,6.779695311,10,-0.66412
Ukmerg?s rajono savivaldyb?,0.511634357,7.704554407,7,0.111128
K?daini? rajono savivaldyb?,0.529734614,7.208794722,5,-0.62235
Klaip?dos miesto savivaldyb?,0.440007335,10.43216635,59,3.266521
Pag?gi? savivaldyb?,0.460645526,5.357211183,2,-2.02016
Anykš?i? rajono savivaldyb?,0.510294475,8.46183962,6,0.94519
Utenos rajono savivaldyb?,0.536455279,8.487005808,6,0.740667
Radviliškio rajono savivaldyb?,0.487548835,6.346279167,8,-1.14481
Šiauli? miesto savivaldyb?,0.525254975,10.21122681,34,2.902883
Palangos miesto savivaldyb?,0.51334789,14.95545872,11,8.573209
Panev?žio rajono savivaldyb?,0.48519011,3.975406279,2,-3.85156
Kaišiadori? rajono savivaldyb?,0.482680722,6.092572277,9,-1.16447
Širvint? rajono savivaldyb?,0.517975567,8.639632092,3,0.989025
Trak? rajono savivaldyb?,0.453213313,7.576437272,12,0.478248
Pasvalio rajono savivaldyb?,0.501709851,8.011292099,2,0.07665
Pakruojo rajono savivaldyb?,0.498793771,8.196087519,2,0.301246
Raseini? rajono savivaldyb?,0.585689165,7.55275024,10,0.244157
Jurbarko rajono savivaldyb?,0.485479693,8.206487851,7,0.762101
Neringos savivaldyb?,0.359274123,21.61244257,1,13.87713
Vilniaus miesto savivaldyb?,0.52477392,16.73548835,325,9.940297
Vilniaus rajono savivaldyb?,0.53771841,3.799762946,7,-3.96322
Kelm?s rajono savivaldyb?,0.473855421,6.728539148,8,-0.58867
Prien? rajono savivaldyb?,0.485383342,6.426709873,9,-0.73646
Zaras? rajono savivaldyb?,0.429431476,11.54485861,4,3.917353
Birštono savivaldyb?,0.613290632,13.98103661,3,7.557347
Panev?žio miesto savivaldyb?,0.527576079,8.729975318,26,1.334439
Rietavo savivaldyb?,0.460199005,8.64624505,3,1.536049
Šilut?s rajono savivaldyb?,0.462542582,7.573221082,7,-0.0791
Birž? rajono savivaldyb?,0.499434288,8.096541612,2,0.160586
Marijampol?s savivaldyb?,0.480928359,7.716714242,10,0.072602
